"rep","true_y_delta_0","true_y_delta_1","b_y_pred_delta_0","b_y_pred_delta_1","sb_y_pred_delta_0","sb_y_pred_delta_1","b_delta_pred_acc","sb_delta_pred_acc","b_Y_pred_mse","sb_Y_pred_mse"
1,-0.479487402217798,0.494044841988633,-0.473724307416587,0.523686683055547,-0.390354522548609,0.332135818515105,0.722,0.746,0.246025390120257,0.0637877003503373
2,-0.42311286435654,0.408201635997671,-0.369026605058436,0.538327744831876,-0.343597464695637,0.294531746139442,0.708,0.726,0.228663934271234,0.0711746667671606
3,-0.228034590392585,0.612968611628193,-0.284799812237158,0.809842822381773,-0.208063498349131,0.499847569376934,0.724,0.748,0.228405066545418,0.0658498592873053
4,-0.437501465025078,0.374762235711615,-0.461910394981918,0.487362729859142,-0.388966321483647,0.255070104211538,0.722,0.732,0.22337034450941,0.0557051759588936
5,-0.213591316691867,0.636681494822053,-0.270762357621716,0.56934260584633,-0.187190974131,0.51006507563177,0.698,0.7,0.233061723665952,0.0534126989696245
6,-0.210570411727812,0.382320392025231,-0.20207697018714,0.903710680463697,-0.212756928837615,0.473707121074151,0.686,0.698,0.198588938789525,0.0637842574255246
7,-0.408485001856738,0.447793418396857,-0.347000957665803,0.463076646243816,-0.277218462786957,0.275063006958829,0.66,0.718,0.192324491957693,0.052282124590656
8,-0.279659450849156,0.563987900391037,-0.372450330701903,0.647563395116625,-0.240610667404778,0.496079111483955,0.684,0.69,0.21263298380018,0.0671376459029717
9,-0.430687157311523,0.333802195782017,-0.403894593031206,0.395333156353477,-0.424528808764579,0.2974337931532,0.73,0.756,0.20996460051621,0.0606473839389226
10,-0.324300499326641,0.574412857996618,-0.386514787072192,0.669608334050527,-0.269800818806779,0.481068853370268,0.712,0.732,0.219929736065445,0.0730174718103158
11,-0.381937978607092,0.518724957991635,-0.368230923840741,0.794303073126199,-0.323871539788536,0.416194977288548,0.72,0.75,0.230088519414072,0.0758878411754811
12,-0.285108708527038,0.512777253484775,-0.345647732178945,0.727642722491162,-0.244676777805086,0.557327973655127,0.696,0.702,0.229888703978142,0.0634692319973063
13,-0.321108451878016,0.438263586143689,-0.241801938770088,0.57286412860641,-0.263159621372619,0.38086815286874,0.678,0.738,0.16615063912883,0.0569333292864603
14,-0.2183428732326,0.67220212707588,-0.246055151277828,0.648550007306922,-0.214930352644441,0.526645237003877,0.712,0.732,0.200063731744261,0.0548758105157114
15,-0.178153536327628,0.524281874122023,-0.185094256352659,0.557885694031843,-0.141074255352701,0.469341986757078,0.692,0.7,0.222557570345317,0.0606437396169957
16,-0.361818169490535,0.514315377208126,-0.366118786215336,0.718271186079584,-0.316316990159588,0.457349106398134,0.71,0.724,0.218681876801522,0.057699053259353
17,-0.270263255548073,0.59169481798002,-0.33862635839691,0.674976396745683,-0.244495768949725,0.472771515874789,0.708,0.736,0.214615235867094,0.0654693681627665
18,-0.422709629553029,0.668348572825231,-0.448945073030707,0.790067373378036,-0.325712772717466,0.459269464153137,0.716,0.756,0.255571929968315,0.0623575589649196
19,-0.303619525162629,0.587319798737681,-0.278859041199373,0.796480065606647,-0.211931247002048,0.599727443604621,0.732,0.744,0.147611972268369,0.0550028916098694
20,-0.347823943806516,0.452611294417186,-0.333956724605381,0.627239599252495,-0.305995044925136,0.404536917095581,0.668,0.71,0.28972571265756,0.0683243643271478
21,-0.294888653123424,0.453828287750804,-0.286429589591621,0.670347897568512,-0.300892305807862,0.462715633786477,0.72,0.716,0.219037906000272,0.0610734987879645
22,-0.344718858228394,0.278382201257736,-0.416226808606095,0.653188975630422,-0.342420624214705,0.324337505210011,0.678,0.704,0.155310027655901,0.0584193960230642
23,-0.443825748053027,0.375544573416175,-0.42315723169915,0.487943408833776,-0.412653761931656,0.312915451515524,0.676,0.718,0.224017885802821,0.0618453830114255
24,-0.304551028057603,0.428291316958058,-0.391876467202611,0.609930246267099,-0.385486986953059,0.430174721460131,0.69,0.702,0.235806087767431,0.055842802526108
25,-0.424703803992956,0.403828696208196,-0.450420932169985,0.581464536807095,-0.391647070066473,0.333909987159807,0.716,0.734,0.224294938585385,0.0610353799885919
1,-0.357799388961139,0.545928224929302,-0.370529978050869,0.791262686895853,-0.31292537384459,0.493860717004112,0.73,0.732,0.206033308708002,0.0565460534936908
2,-0.356004671990621,0.578554694231885,-0.370899868192031,0.920525588150553,-0.35347771951719,0.572775186986062,0.714,0.732,0.184370252947899,0.0686894182728944
3,-0.29282314377539,0.621399051458364,-0.213164872634,0.785202805051462,-0.23028504942277,0.57804121308879,0.696,0.718,0.232980843613407,0.0682721937993551
4,-0.423994635395528,0.552303103289543,-0.421970898568531,0.70406771591048,-0.384576829519186,0.466320270407774,0.69,0.718,0.199947488359074,0.0625806667537997
5,-0.209504568804258,0.567651378974823,-0.343377470041937,0.696092776127762,-0.233784107320384,0.475614551343085,0.712,0.72,0.233795923356483,0.0711715874190923
6,-0.366693129886263,0.331447594031813,-0.347815896152016,0.411411717236567,-0.327594238996162,0.323567638462579,0.666,0.67,0.289548571176361,0.0552167853467841
